name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
EasyBull Inlet Nozzle Pack of 3 Suitable for Starq Jpt Resqtech Bosch Karcher Pressure washers,appliances,All Appliances,https://m.media-amazon.com/images/I/41G2zCsMNFL._AC_UL320_.jpg,https://www.amazon.in/EasyBull-Suitable-Resqtech-Karcher-Pressure/dp/B08T8DKX2Y/ref=sr_1_2972?qid=1679135762&s=appliances&sr=1-2972,4.2,139,₹280,₹500
"Yellow Weaves Top Loading Fully Automatc Washing Machine Cover for 6 kg, 6.5 kg,7kg, 7.5 kg(Black Grey)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91HeYNg+mmL._AC_UL320_.jpg,https://www.amazon.in/Yellow-Weaves-Loading-Automatc-Washing/dp/B08ZLRKB48/ref=sr_1_2508?qid=1679135736&s=appliances&sr=1-2508,3.6,633,₹299,₹448
"Jaipan High Performance Heavy Duty Beater 450 Watt :: 5 Speed :: Dough and Beater Hooks, Steel Blue & White",appliances,All Appliances,https://m.media-amazon.com/images/I/715D+bTt7mL._AC_UL320_.jpg,https://www.amazon.in/Jaipan-High-Performance-Heavy-BEATER/dp/B08VBFMP5V/ref=sr_1_6825?qid=1679135978&s=appliances&sr=1-6825,3.6,61,"₹1,599","₹2,495"
"KPS HUB Jumbo Stainless Steel 7.5 inch Dia. Puri Maker Press Machine With Handle, Manual Stainless Steel Roti Press, Papa...",appliances,All Appliances,https://m.media-amazon.com/images/I/61oFof8bCTL._AC_UL320_.jpg,https://www.amazon.in/KPS-HUB-Stainless-Machine-Khakhra/dp/B0BX9PQWMZ/ref=sr_1_1127?qid=1679135654&s=appliances&sr=1-1127,5.0,1,₹649,"₹1,299"
DERIKE Portable Mini AC USB Battery Operated Air Conditioner Mini Water Air Cooler Cooling Fan Blade Less Duel Blower with...,appliances,All Appliances,https://m.media-amazon.com/images/I/41GnS7WQumL._AC_UL320_.jpg,https://www.amazon.in/DERIKE-Portable-Battery-Operated-Conditioner/dp/B0BX5RTQCZ/ref=sr_1_1524?qid=1679135678&s=appliances&sr=1-1524,1.0,1,₹489,₹999
"Saptraag Gomti Chakra (1.5 cm, Brownish) -108 Pieces",appliances,All Appliances,https://m.media-amazon.com/images/I/61BqoC6CYcL._AC_UL320_.jpg,https://www.amazon.in/Saptraag-Gomti-Chakra-108-1-5/dp/B07WH5SP2K/ref=sr_1_6361?qid=1679135951&s=appliances&sr=1-6361,4.3,215,₹360,"₹1,500"
Panasonic MK-GB1 3-Litre 200-Watt Stand Mixer (White),appliances,All Appliances,https://m.media-amazon.com/images/I/71RfyJrIqjL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-MK-GB1-3-Litre-200-Watt-Stand/dp/B00ADKKFAM/ref=sr_1_8310?qid=1679136059&s=appliances&sr=1-8310,3.9,392,"₹3,449","₹4,195"
HAZEL Alfa Cooker Container | Cooker Vessel Set For 3 Litre I Set of 2 with Glossy Finish Utensil Set Stainless Steel Cook...,appliances,All Appliances,https://m.media-amazon.com/images/I/61R4d0obLHL._AC_UL320_.jpg,https://www.amazon.in/Stainless-Stackable-Seperator-Cooker-Pressure/dp/B07RMYH59Y/ref=sr_1_4752?qid=1679135861&s=appliances&sr=1-4752,3.9,645,₹429,₹859
"KARSYN Impulse Plastic Pouch Hand Table Top Polythene Packet Heat Sealer Packing Sealing Machine (8 Inch, Multicolor)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61JJQtCITpL._AC_UL320_.jpg,https://www.amazon.in/KARSYN-Impulse-Plastic-Polythene-Multicolor/dp/B08HJZXGZD/ref=sr_1_9105?qid=1679136101&s=appliances&sr=1-9105,3.6,29,₹899,"₹1,799"
ZunVolt Fruice Juicer Blender Grinder and Smoothie Maker 400W (Red - Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51xrEdfWfGL._AC_UL320_.jpg,https://www.amazon.in/ZunVolt-Fruice-Blender-Grinder-Smoothie/dp/B0BFDM1KJ4/ref=sr_1_5273?qid=1679135890&s=appliances&sr=1-5273,3.1,16,₹999,"₹3,000"
