name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Lavie Sport Chairman Laptop Bag | Premium Leatherette Business Backpack for Men & Women | Durable Office Bag for Notebook/...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91ZTffxMHgL._AC_UL320_.jpg,https://www.amazon.in/Lavie-Sport-Chairman-Compatible-compartments/dp/B09YCSCRBW/ref=sr_1_3859?qid=1679133895&s=electronics&sr=1-3859,4.0,713,₹899,"₹4,499"
"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/7180ZAZmERL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-Ultra%C2%AE-microSDXCTM-Warranty-Smartphones/dp/B0BDRVFDKP/ref=sr_1_36?qid=1679133651&s=electronics&sr=1-36,4.4,"71,768",₹488,"₹1,000"
"Sounce Adjustable Air Vent Mobile Phone Holder for Car with 360° Rotational, Quick Release Button, Compatible with All Sma...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71ZbqAzcdoL._AC_UL320_.jpg,https://www.amazon.in/Sounce-Adjustable-Rotational-Compatible-Smartphones/dp/B0BQYZ4FD5/ref=sr_1_5534?qid=1679133996&s=electronics&sr=1-5534,3.8,267,₹299,₹999
TheGiftKart Back Cover Soft Case for Samsung Galaxy A14 5G | Best Camera Protection | Inbuilt Dust Plugs & Anti-Slip Grip...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61wLRF7laJL._AC_UL320_.jpg,https://www.amazon.in/TheGiftKart-Samsung-Protection-Anti-Slip-Transparent/dp/B0BWS2J63M/ref=sr_1_5145?qid=1679133973&s=electronics&sr=1-5145,5.0,3,₹269,₹999
Oraimo 18W USB & Type-C Dual Output Super Fast Charger Wall Adapter PE2.0&Quick Charge 3.0 & Power Delivery 3.0 Fast Charg...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51OxPv3oNKL._AC_UL320_.jpg,https://www.amazon.in/Oraimo-Charger-Adapter-Delivery-Charging/dp/B0BB2D33VL/ref=sr_1_6095?qid=1679134031&s=electronics&sr=1-6095,4.0,"15,095",₹599,"₹1,199"
"SIDRUM D2 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap, Compatible for Nikon, Canon, Sony Mirrorless C...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81TVDf97V5L._AC_UL320_.jpg,https://www.amazon.in/SIDRUM-D2-Adjustable-Compatible-Mirrorless/dp/B09KH6CN1M/ref=sr_1_8917?qid=1679134198&s=electronics&sr=1-8917,4.3,179,₹664,₹999
Canon CL-57 Ink Cartridge (Color),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41-tvuK5eIL._AC_UL320_.jpg,https://www.amazon.in/Canon-CL-57-Ink-Cartridge-Color/dp/B00KBSQ17C/ref=sr_1_3117_mod_primary_new?qid=1679133848&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3117,4.2,"9,454","₹1,197","₹1,258"
OpenTech® Tempered Glass Screen Protector Compatible for Fossil Gen 6 (Pack of 2) with Easy Installation kit,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61o3l67wMQL._AC_UL320_.jpg,https://www.amazon.in/OpenTech%C2%AE-Compatible-Fossil-Gen-Installation/dp/B0B93JVKY3/ref=sr_1_4640?qid=1679133943&s=electronics&sr=1-4640,4.3,116,₹299,₹999
Dell 40Whr 14.8V 4 Cell Battery for M5Y1K 453-BBBR HD4J0 GR437 W6D4J 451-BBUD,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41mkc0i6okL._AC_UL320_.jpg,https://www.amazon.in/Brand-New-40Whr-Li-Ion-Battery/dp/B06X9VWL95/ref=sr_1_7390?qid=1679134108&s=electronics&sr=1-7390,4.0,409,"₹2,199","₹4,199"
"Fast Charger Compatible for Vivo V9, Y21L,V7, Y6,V11 Pro, V17,V17 Pro,Y17,U10,Vivo V 5 Plus, V5S, Y31 / Y51 / Y53 / Y55 vi...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61WAVluIpPL._AC_UL320_.jpg,https://www.amazon.in/Fast-Charger-Compatible-Original-Smartphone/dp/B0BB87W5BF/ref=sr_1_7971?qid=1679134144&s=electronics&sr=1-7971,5.0,2,₹349,₹799
"Inefable® Earphone Headphone Case Pouch Cover Carrying Case for Earphones , Headset , Pen Drives , SD Cards , All Mobile A...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/612jATy6ZpL._AC_UL320_.jpg,https://www.amazon.in/Inefable%C2%AE-Earphone-Headphone-Earphones-Accessories/dp/B09Q1271BR/ref=sr_1_1032?qid=1679133712&s=electronics&sr=1-1032,4.1,196,₹99,₹399
"JBL Tune 700BT by Harman, 27-Hours Playtime with Quick Charging, Wireless Over Ear Headphones with Mic, Dual Pairing, AUX...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71wslpNyYpL._AC_UL320_.jpg,https://www.amazon.in/JBL-Over-Ear-Headphones-Multi-Point-Connection/dp/B08145ZW8Y/ref=sr_1_8815?qid=1679134193&s=electronics&sr=1-8815,3.9,"2,853","₹3,699","₹5,499"
"Humble Stainless Steel 19mm Chain Strap with Magnetic Buckle Compatible with Noise Colorfit Pro 2 , Boat Storm Smart Watch...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/716Lb1NCM5L._AC_UL320_.jpg,https://www.amazon.in/Stainless-Magnetic-Compatible-Colorfit-Watches/dp/B0B632RMLD/ref=sr_1_3699?qid=1679133885&s=electronics&sr=1-3699,3.9,730,₹349,₹799
Pack of 2 TP4056 Micro USB Lithium Battery Charging Converter with Overcharge Discharge Over-Current Protection Charging B...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71xQuBQhwLL._AC_UL320_.jpg,https://www.amazon.in/Converter-Overcharge-Discharge-Over-Current-Protection/dp/B08VW3XHL5/ref=sr_1_3493?qid=1679133871&s=electronics&sr=1-3493,4.1,99,₹95,₹200
2022 New Cleaner Kit for Keyboard Soft Brush 5 in 1 Multifunction Computer Cleaning Tools Kit with Keycap Puller (Red),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41kJdeqFlVL._AC_UL320_.jpg,https://www.amazon.in/Cleaner-Keyboard-Multifunction-Computer-Cleaning/dp/B0BM4VZ7Z6/ref=sr_1_7391?qid=1679134108&s=electronics&sr=1-7391,3.9,37,₹95,₹999
"ESR Clear Case Compatible with iPhone 13 Case, Shockproof Thin Silicone Cover, Yellowing-Resistant Slim Transparent TPU Ph...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71RDNsvckTL._AC_UL320_.jpg,https://www.amazon.in/ESR-Compatible-iPhone-Yellowing-Resistant-Transparent/dp/B0BHQ8BDCB/ref=sr_1_9519?qid=1679134232&s=electronics&sr=1-9519,4.4,112,₹474,₹899
"boAt Stone 170 5W Bluetooth Speaker with Upto 6 Hours Playback, TWS Feature, IPX6, Multifunction Buttons and SD Card Slot(...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/615J4XjwC5S._AC_UL320_.jpg,https://www.amazon.in/boAt-Stone-170-Bluetooth-Multifunction/dp/B0974KW28X/ref=sr_1_2914?qid=1679133836&s=electronics&sr=1-2914,4.3,"40,189","₹1,299","₹2,990"
