name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Bodylastics Yoga Wheel for Women and Men Fitness 13” Strong, Sweat Resistant & Eco-Friendly",sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/712WUjc0A+L._AC_UL320_.jpg,https://www.amazon.in/Bodylastics-Fitness-Strong-Resistant-Eco-Friendly/dp/B07PGL3H1G/ref=sr_1_368?qid=1679218213&s=sports&sr=1-368,4.3,460,"₹1,025","₹2,999"
Alan Jones Clothing Boys Cotton Blend Hooded Neck Hoodies,sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/51mF7diIunL._AC_UL320_.jpg,https://www.amazon.in/Alan-Jones-Clothing-BOY22-SW103-RWB-10-11YRS_Red-Black_10Years-11Years/dp/B0B53H48SK/ref=sr_1_1522?qid=1679218237&s=sports&sr=1-1522,4.0,466,₹749,"₹1,599"
RUBX Rubber Coated Professional Exercise Hex Fixed Dumbbells (Pack of Two) 5 Kg x 2pc (Total = 10 kg) Black,sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/61mUc9vBJqL._AC_UL320_.jpg,https://www.amazon.in/RUBX-Rubber-Professional-Exercise-Dumbbells/dp/B06XKWS55Q/ref=sr_1_95?qid=1679218204&s=sports&sr=1-95,4.6,"6,577","₹1,599","₹3,000"
Clovia Women's Medium Impact Padded Non-Wired Full Cup Sports Bra with Removable Cups,sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71htP+A5bKL._AC_UL320_.jpg,https://www.amazon.in/Clovia-Womens-Non-Wired-Removable-BRS026B08_Blue_M/dp/B0B8JJ5DL6/ref=sr_1_8087?qid=1679218343&s=sports&sr=1-8087,2.1,3,₹599,"₹1,199"
KAMACHI Rubber & Integrated Metal Weight Plates 51 mm Hole Diameter,sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/51uwhiHVM7S._AC_UL320_.jpg,https://www.amazon.in/Kamachi-Rubber-Integrated-Weight-Diameter/dp/B07DND9YNW/ref=sr_1_5204?qid=1679218293&s=sports&sr=1-5204,3.8,28,"₹1,987.04","₹6,000"
VIMAL JONNEY Men's Grey and Black Cotton Trackpants (Pack of 2),sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/61h-hiLEWhL._AC_UL320_.jpg,https://www.amazon.in/VIMAL-Mens-Track-Pants-D1MD1B_Multi-Coloured_X-Large/dp/B01AC1GQUO/ref=sr_1_1523?qid=1679218237&s=sports&sr=1-1523,3.7,691,₹699,"₹1,800"
CHKOKKO Women's Round Neck Full Sleeves Gym Sports T-Shirt,sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/610tW7CNCwL._AC_UL320_.jpg,https://www.amazon.in/CHKOKKO-Womens-Sleeves-Sports-T-Shirt/dp/B08XW7VPCG/ref=sr_1_3681?qid=1679218275&s=sports&sr=1-3681,3.9,"1,021",₹399,"₹1,999"
FitBlaze Tummy Twister | Waist Trimmer | Ab Twister | Ab Roller | Tummy Twister Abdominal ABS Exerciser Body Toner for Men...,sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/61cfzyeTF-L._AC_UL320_.jpg,https://www.amazon.in/FitBlaze-Twister-Trimmer-Abdominal-Exerciser/dp/B0BNHCPR8Q/ref=sr_1_637?qid=1679218221&s=sports&sr=1-637,5.0,4,₹699,"₹1,000"
"Cultsport smartcross b1 Bluetooth Enabled Elliptical Cross Trainer, Max Weight: 120kg, Free at Home Installation, Trainer ...",sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/51y4lkbpLtL._AC_UL320_.jpg,https://www.amazon.in/Cultsport-smartcross-b1-Bluetooth-Elliptical/dp/B0B1MZCZQ5/ref=sr_1_1326?qid=1679218232&s=sports&sr=1-1326,4.4,42,"₹17,999","₹38,999"
"HOMEGALLEY Yoga Foam Roller for Exercise and Deep Tissue Massage Roller, Muscle Recovery, Workout Foam Roller for Massage ...",sports & fitness,All Exercise & Fitness,https://m.media-amazon.com/images/I/416AAljhQBL._AC_UL320_.jpg,https://www.amazon.in/HOMEGALLEY-Exercise-Massage-Recovery-Myofascial/dp/B0BGSGQ2M8/ref=sr_1_476?qid=1679218216&s=sports&sr=1-476,4.0,24,₹395,₹799
