name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Lint Remover for Clothes Fabric Shaver Lint Shaver for Woolen Clothes Blanket Jackets Stainless Steel Blades, Clothes and ...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51OipUYwU+L._AC_UL320_.jpg,https://www.amazon.in/SAIELLIN-Clothes-Sweater-Defuzzer-Trimmer/dp/B09MTLG4TP/ref=sr_1_9143?qid=1679214617&s=kitchen&sr=1-9143,4.2,853,₹399,₹999
"Cello Non Stick Induction Base Frying Pan/Tapper Pan, 220 mm, Cherry,Aluminium",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/511L3E8U2-L._AC_UL320_.jpg,https://www.amazon.in/Cello-Stick-Taper-Fying-Cherry/dp/B07VCDR127/ref=sr_1_2653?qid=1679214499&s=kitchen&sr=1-2653,3.8,868,₹443,"₹1,199"
atomberg Ikano 1200mm BLDC Motor 5 Star Rated Ceiling Fans for Home with Remote Control | Upto 65% Energy Saving High Spee...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/5155vBUfcNL._AC_UL320_.jpg,https://www.amazon.in/Atomberg-Ikano-Energy-Saving-Ceiling/dp/B0B2DP5F65/ref=sr_1_1946?qid=1679214488&s=kitchen&sr=1-1946,4.1,545,"₹3,120","₹4,349"
Staedtler 137 C 48 Luna Water Colour Pencil - Pack of 48 (Multicolour),home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81iLrhOfmNL._AC_UL320_.jpg,https://www.amazon.in/Staedtler-137-Water-Colour-Pencil/dp/B00LM497WA/ref=sr_1_5844_mod_primary_new?qid=1679214555&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-5844,4.5,"2,569","₹1,600","₹2,095"
MENORAH - Artist Sketch Book - A4-180 GSM (100 Pages / 50 Sheets) Drawing Notebook - Hard Bound Book - (29.7 cm x 21 cm) -...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/91KtbYsY49L._AC_UL320_.jpg,https://www.amazon.in/MENORAH-Notebook-Completely-Handmade-Portrait/dp/B0861Z1CG8/ref=sr_1_7059?qid=1679214579&s=kitchen&sr=1-7059,4.6,"2,656",₹599,₹649
"amazelo cart Door Mats for Home Entrance, Welcome Mats Outside, Indoor Rubber Mat, Waterproof Bathmat Heavy Duty for Entry...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/818N9NCV+AL._AC_UL320_.jpg,https://www.amazon.in/Amazelo-Polypropylene-Bathmat-Bathroom-Entrance/dp/B09CQ684TT/ref=sr_1_1959?qid=1679214488&s=kitchen&sr=1-1959,4.2,885,₹429,"₹1,499"
"Treo by Milton All Fresh Borosilicate Glass Tiffin, 400 ml, Set of 3, Transparent",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/71IO2ouEb2L._AC_UL320_.jpg,https://www.amazon.in/Milton-Fresh-Borosilicate-Tiffin-Transparent/dp/B07N8KH97Z/ref=sr_1_7119?qid=1679214581&s=kitchen&sr=1-7119,4.5,"1,470","₹1,098","₹1,445"
"Elica 60 cm 1200 m3/hr Filterless Auto Clean Chimney with 15 Years Warranty (WDFL 606 HAC LTW MS NERO, Touch + Motion Sens...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61MMo3L63rL._AC_UL320_.jpg,https://www.amazon.in/Elica-WDFL-606-HAC-NERO/dp/B08CKNVG3B/ref=sr_1_1410?qid=1679214473&s=kitchen&sr=1-1410,4.5,"9,688","₹12,999","₹23,990"
Flexible Duster For Fan Cleaning Mop With Long Rod | Fan Cleaner Brush With Long Rod | Spider Web Cleaner Stick | Fan Clea...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/71K6Uij+fnL._AC_UL320_.jpg,https://www.amazon.in/Flexible-Duster-Fan-Cleaner-Microfiber/dp/B0BWR5S416/ref=sr_1_2648?qid=1679214499&s=kitchen&sr=1-2648,4.8,"15,275",₹498,₹999
Kuber Industries Wooden Simple Numerical Round Shaped Wall Clock for Home Décor Size 25 x 25 CM (Brown),home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/81dBuVrQ3xL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Numerical-Standard-HS39KUBMART022867/dp/B097ZXC53D/ref=sr_1_7019?qid=1679214577&s=kitchen&sr=1-7019,2.7,"1,977",₹348,₹499
