name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Red Chief Leather Casual Shoes for Men (RC3733),men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51T7MI+dCwL._AC_UL320_.jpg,https://www.amazon.in/Red-Chief-Leather-Casual-RC3733/dp/B09MJC35Q1/ref=sr_1_12347?qid=1679149066&s=shoes&sr=1-12347,3.4,3,"₹2,249","₹4,499"
Bond Street by (Red Tape) Mens Moccasins,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61dNJhkrKIL._AC_UL320_.jpg,https://www.amazon.in/Bond-Street-Red-Tape-BSS0181D/dp/B083JKTTXN/ref=sr_1_10283?qid=1679148989&s=shoes&sr=1-10283,2.4,8,"₹1,890","₹5,399"
Shoefly mens Grey New_(s)-1215 Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71sXvs1ToEL._AC_UL320_.jpg,https://www.amazon.in/Shoefly-Men-Black-349-Casual-Shoes-Sneakers/dp/B07BCFM9XL/ref=sr_1_2012?qid=1679148692&s=shoes&sr=1-2012,3.5,8,₹378,₹499
Bacca Bucci Men's Nirvana Low Top Flat Sole Casual Sneakers for Men,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61SbMJbsmiL._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-Nirvana-Casual-Sneakers/dp/B0B9K8X8FQ/ref=sr_1_660?qid=1679148642&s=shoes&sr=1-660,3.6,44,"₹1,398","₹2,999"
KNOOS Men's Synthetic Leather Brown Loafers (BOB1010-BR),men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81sYurkuXeL._AC_UL320_.jpg,https://www.amazon.in/Knoos-Synthetic-Leather-BOB1010-BR-9-BOB1010-BR-9/dp/B01MD19F09/ref=sr_1_2483?qid=1679148709&s=shoes&sr=1-2483,2.8,21,₹499,₹999
Casual & Daily Use Bellies,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/41JQ9GIElUL._AC_UL320_.jpg,https://www.amazon.in/Generic-RR004-Python-Numeric_6-Caramel/dp/B0BGSZL8CQ/ref=sr_1_3470?qid=1679148745&s=shoes&sr=1-3470,5.0,2,₹349,₹500
Centrino Mens 6002-02 Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/6100asSWadL._AC_UL320_.jpg,https://www.amazon.in/Centrino-Mens-6002-Sneaker-9-6002-04/dp/B09PLD9TSR/ref=sr_1_4737?qid=1679148789&s=shoes&sr=1-4737,3.2,83,₹909,"₹2,499"
generic men women hidden loafer casual socks for shoes 6 pcs,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71S8-rISg-L._AC_UL320_.jpg,https://www.amazon.in/generic-women-hidden-loafer-casual/dp/B07WD6ZXNP/ref=sr_1_4950?qid=1679148795&s=shoes&sr=1-4950,3.2,2,₹257,₹699
"SPENO Men's Black Synthetic Loafers for Men, 10 UK (ANIL-015-BLACK-10)",men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71lkyArkYCL._AC_UL320_.jpg,https://www.amazon.in/SPENO-Mens-Black-Synthetic-Loafers/dp/B09CQ9N9FT/ref=sr_1_6258?qid=1679148842&s=shoes&sr=1-6258,3.9,6,₹299,"₹1,249"
Reebok Men's Club C 85 Tennis Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81OqZqpL+-L._AC_UL320_.jpg,https://www.amazon.in/Reebok-Black-White-Classics-GW5813/dp/B09N6SJ5KK/ref=sr_1_4142?qid=1679148768&s=shoes&sr=1-4142,4.6,"1,336","₹4,129","₹6,999"
