name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Republic Day Independence Day 15 August 26 January Indian Printed t Shirt for Boys Kids,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/718Q4S3axJL._AC_UL320_.jpg,https://www.amazon.in/Shirt-Boys-11-12-Years-White/dp/B0B6G2X1FR/ref=sr_1_18250?qid=1679220639&s=apparel&sr=1-18250,1.0,1,₹375,₹499
SYGA 3 Pcs Children Girl Baby Elastic Hairband Princess Wind Bow Flower Headband Suit Baby Headdress Photo Hair Accessorie...,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/711wNTisXwL._AC_UL320_.jpg,https://www.amazon.in/SYGA-Children-Hairband-Headdress-Accessories/dp/B0B77985YR/ref=sr_1_9480?qid=1679220534&s=apparel&sr=1-9480,4.5,7,₹299,₹699
Fusefit girls Track Pants,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71cqhrMrH2L._AC_UL320_.jpg,https://www.amazon.in/Fusefit-Girls-Relaxed-Track-FFA-KG063-02-9-10-1199_Navy_10/dp/B09DSTSLRG/ref=sr_1_16274?qid=1679220613&s=apparel&sr=1-16274,5.0,2,₹359,"₹1,199"
BENKILS Girls Casual Dress,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/81P7ODspaJL._AC_UL320_.jpg,https://www.amazon.in/BENKILS-Girls-Jeans-Dungaree-7_Years/dp/B08LSBWKDL/ref=sr_1_991?qid=1679220444&s=apparel&sr=1-991,3.8,"1,058",₹629,"₹1,680"
SYGA Children's Sunglasses Funny Round Frame Knockwell Sunglasses Anti-UV Lens Eyewear Snail-Shaped Kids Goggles,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/41kXAKiZeDL._AC_UL320_.jpg,https://www.amazon.in/SYGA-Childrens-Sunglasses-Knockwell-Snail-Shaped/dp/B0B73MSV3G/ref=sr_1_8341?qid=1679220519&s=apparel&sr=1-8341,1.5,2,₹199,₹499
"FARETO Unisex Just Born Baby Clothing Set/6 Front Open Shirts/6 Single Layer Nappies/6 Caps, 0-3 Months (Multicolour)(L-10...",kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/81CvmyRV8lL._AC_UL320_.jpg,https://www.amazon.in/FARETO-Clothing-Nappies-Multicolour-B-9Inchs/dp/B07MFVGQ2V/ref=sr_1_12148?qid=1679220566&s=apparel&sr=1-12148,3.9,73,₹630,"₹1,299"
Wish Karo Baby Girl's A-Line Knee Length Frock,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/81KclVdBmTL._AC_UL320_.jpg,https://www.amazon.in/Wish-Karo-Girls-Frock-bxa206rd_Red_4-5/dp/B089PWPH3G/ref=sr_1_9463?qid=1679220534&s=apparel&sr=1-9463,4.3,11,₹399,"₹2,999"
ZOOTEE Fashion Unisex Kids Boys and Girls Plain Round Neck Full Sleeve Red Color Cotton Tshirts,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/41Amg0ayoKL._AC_UL320_.jpg,https://www.amazon.in/ZOOTEE-Fashion-Unisex-Sleeve-Tshirts/dp/B0BRB9QM2H/ref=sr_1_8318?qid=1679220519&s=apparel&sr=1-8318,4.0,1,₹275,₹699
WearIndia Boys' T-Shirt,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/81vJ0j9wKNL._AC_UL320_.jpg,https://www.amazon.in/WearIndia-BAGAHDBILLO-T-Shirt-Black-13-14/dp/B09TSXZJ37/ref=sr_1_3611?qid=1679220473&s=apparel&sr=1-3611,3.5,57,₹399,"₹1,299"
Toxi Captain America Printed Round Neck and Half Sleeve White | Dri Fit | Tshirt for Women | Men | Kids | Girls | Boys,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/516SBcxJLaL._AC_UL320_.jpg,https://www.amazon.in/Toxi-Captain-America-Printed-Sleeve/dp/B09Z2SN49N/ref=sr_1_18752?qid=1679220648&s=apparel&sr=1-18752,1.0,1,₹199,₹899
Visions India Optimax Anti Glare Blue Cut Magnetic Reading Glasses with Neck Band For Men Women (Black +2.75),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31QzWRYFblL._AC_UL320_.jpg,https://www.amazon.in/VisionsIndia-Optimax-Magnetic-Reading-2-75/dp/B08187SCY9/ref=sr_1_17889?qid=1679220633&s=apparel&sr=1-17889,4.0,3,₹549,"₹1,499"
GOODWAY Boys Pack of 5 Theme Did You knowTheme Printed T-Shirts(JB5PCKDYK-1_Multicolor),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/71OTLEJkTTL._AC_UL320_.jpg,https://www.amazon.in/Goodway-Junior-Theme-Combo-T-Shirts/dp/B00KNU1L3M/ref=sr_1_9471?qid=1679220534&s=apparel&sr=1-9471,4.2,"1,282",₹799,"₹1,745"
Hopscotch Girls Viscose All-Over Print Top and Pajama Set in Pink Color,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/510NN3VX8BL._AC_UL320_.jpg,https://www.amazon.in/Hopscotch-Viscose-Quarters-Sleepwear-BYY-3422995/dp/B0927PSZZP/ref=sr_1_8337?qid=1679220519&s=apparel&sr=1-8337,3.8,49,₹491,₹889
"little PANDA Born Baby Boys Girls Soft Cotton Cap, Mittens & Booties Set (0-6 Months) Combo Pack",kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/61W8QsqVGPL._AC_UL320_.jpg,https://www.amazon.in/Little-Cotton-Mittens-Booties-Months/dp/B07MRF5W1K/ref=sr_1_269?qid=1679220436&s=apparel&sr=1-269,5.0,2,₹749,"₹1,099"
reinstones hijab pin set of 10 pcs/scarf pin,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/71KPMp9hfxL._AC_UL320_.jpg,https://www.amazon.in/reinstones-hijab-pin-set-scarf/dp/B0BX8P6H7J/ref=sr_1_1354?qid=1679220450&s=apparel&sr=1-1354,5.0,1,₹400,"₹1,000"
Red Tape Boys T-Shirt,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/612sXMA8xwL._AC_UL320_.jpg,https://www.amazon.in/Red-Tape-Printed-Regular-BHT0185_White/dp/B08YNB97RS/ref=sr_1_15410?qid=1679220602&s=apparel&sr=1-15410,5.0,2,₹482,"₹1,499"
Fashion Dream Girls Jumpsuit Set,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71rqhXRJg6L._AC_UL320_.jpg,https://www.amazon.in/Fashion-Dream-Multicolor-Jumpsuit-Multicolor_13-14/dp/B09SH79JK6/ref=sr_1_16299?qid=1679220613&s=apparel&sr=1-16299,3.1,55,₹559,"₹2,499"
Wish Karo Baby Girls Top and Skirt For Girls-(csl295),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/61r8NDjahuL._AC_UL320_.jpg,https://www.amazon.in/Wish-Karo-Dungaree-Girls-csl295y_Yellow_4-5yrs/dp/B09RV9NVQ7/ref=sr_1_8634?qid=1679220523&s=apparel&sr=1-8634,3.5,3,₹449,"₹1,499"
little PANDA Baby Girls Skater Knee Length Net Dress,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/81VjqoPDOtS._AC_UL320_.jpg,https://www.amazon.in/little-PANDA-Girls-Length-Months/dp/B09DT8C8S3/ref=sr_1_12599?qid=1679220571&s=apparel&sr=1-12599,3.6,4,₹404,"₹1,499"
Supersox Girl's Ankle Length Cotton Socks (Pack of 3),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/812id7eqa-L._AC_UL320_.jpg,https://www.amazon.in/Supersox-Babies-Combed-Cotton-Colour/dp/B07QTGQ3MS/ref=sr_1_981?qid=1679220444&s=apparel&sr=1-981,4.1,388,₹329,₹399
Amazon Brand - Jam & Honey Boys T-Shirt,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/81NIN+RxqEL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Regular-T-Shirt-AW21JHBTEEPO2-002_Multi/dp/B0B9BW39D1/ref=sr_1_1364?qid=1679220450&s=apparel&sr=1-1364,5.0,1,₹447,"₹1,198"
BabyNeeds Soft Cotton Ear Flap Caps with Tie Knot for Baby (3-6 Months),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/71FRyhZNpPS._AC_UL320_.jpg,https://www.amazon.in/BabyNeeds-Soft-Cotton-Flap-Months/dp/B096S7SV8X/ref=sr_1_7736?qid=1679220510&s=apparel&sr=1-7736,3.5,13,₹549,"₹1,499"
BABY GO 100% Pure Cotton Dungarees for Baby Girls,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61c2HXiCBgL._AC_UL320_.jpg,https://www.amazon.in/Infant-sleeve-Printed-Organic-DUNGREE/dp/B08VWPX5TN/ref=sr_1_15832?qid=1679220607&s=apparel&sr=1-15832,4.2,180,₹419,"₹1,299"
SINI MINI Girl's Capri Shorts (Pack of 4),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/91SVoU1A3WL._AC_UL320_.jpg,https://www.amazon.in/Sini-Mini-Girls-Cotton-Print/dp/B013WKWXW2/ref=sr_1_5635?qid=1679220489&s=apparel&sr=1-5635,4.0,764,₹899,"₹2,799"
Bonjour D. Grey Kids Woolen Argyle Socks- Pack of 2,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/81nZtQ5POQL._AC_UL320_.jpg,https://www.amazon.in/Bonjour-Multicoloured-Woolen-Argyle-Socks/dp/B0832XN3PY/ref=sr_1_13877?qid=1679220587&s=apparel&sr=1-13877,4.3,19,₹221,₹408
Kars Girl Baby Knitted Combo Dress for 6 Month - 4 Years(Pack of 2),kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81ep2rjA6yL._AC_UL320_.jpg,https://www.amazon.in/Kars-Girls-Length-Striped_Lbbot1_Multicolor_3-Years-4/dp/B09VFRX8WG/ref=sr_1_17878?qid=1679220633&s=apparel&sr=1-17878,3.9,4,₹390,₹650
BabyMoon Kids Big Ears Fruits Summer Cap Hat,kids' fashion,Kids' Clothing,https://m.media-amazon.com/images/I/61WTvZQC1EL._AC_UL320_.jpg,https://www.amazon.in/BabyMoon-Kids-Ears-Fruits-Summer/dp/B0B2JTQG23/ref=sr_1_13580?qid=1679220580&s=apparel&sr=1-13580,5.0,1,₹345,₹412
